"Tindex","Aindex","Sindex","TAindex","TSindex","ASindex","R"
6,17,1,137,11,33,0.00822371629164298
6,17,2,137,12,34,-0.00822371629164298
6,18,1,138,11,35,0.00852371948175538
6,18,2,138,12,36,-0.00852371948175538
6,19,1,139,11,37,0.0114342384779843
6,19,2,139,12,38,-0.0114342384779843
6,20,1,140,11,39,0.00175463988777694
6,20,2,140,12,40,-0.00175463988777694
6,21,1,141,11,41,-0.00171474156246162
6,21,2,141,12,42,0.00171474156246162
6,22,1,142,11,43,-0.00676226744018238
6,22,2,142,12,44,0.00676226744018238
6,23,1,143,11,45,-0.0315106586262578
6,23,2,143,12,46,0.0315106586262578
6,24,1,144,11,47,0.0373049160083363
6,24,2,144,12,48,-0.0373049160083363
7,1,1,145,13,1,0.00646497032562948
7,1,2,145,14,2,-0.00646497032562947
7,2,1,146,13,3,0.00624430427570272
7,2,2,146,14,4,-0.00624430427570272
7,3,1,147,13,5,-0.0168973393074531
7,3,2,147,14,6,0.0168973393074531
7,4,1,148,13,7,0.0101453772854453
7,4,2,148,14,8,-0.0101453772854453
7,5,1,149,13,9,0.00711660077765447
7,5,2,149,14,10,-0.00711660077765447
7,6,1,150,13,11,0.0158774589898169
7,6,2,150,14,12,-0.0158774589898169
7,7,1,151,13,13,-0.00550744360202735
7,7,2,151,14,14,0.00550744360202735
7,8,1,152,13,15,-0.0142882270418206
7,8,2,152,14,16,0.0142882270418206
7,9,1,153,13,17,0.0010800488352989
7,9,2,153,14,18,-0.0010800488352989
7,10,1,154,13,19,0.00494011934552643
7,10,2,154,14,20,-0.00494011934552643
7,11,1,155,13,21,0.0235518983008156
7,11,2,155,14,22,-0.0235518983008156
7,12,1,156,13,23,0.00170252060177816
7,12,2,156,14,24,-0.00170252060177816
7,13,1,157,13,25,-0.0172044644946564
7,13,2,157,14,26,0.0172044644946564
7,14,1,158,13,27,-0.0113793543733051
7,14,2,158,14,28,0.0113793543733051
7,15,1,159,13,29,0.000595740407702613
7,15,2,159,14,30,-0.000595740407702613
7,16,1,160,13,31,0.010386763121473
7,16,2,160,14,32,-0.010386763121473
7,17,1,161,13,33,0.0107129546042215
7,17,2,161,14,34,-0.0107129546042215
7,18,1,162,13,35,0.00686221679730321
7,18,2,162,14,36,-0.00686221679730321
7,19,1,163,13,37,0.00763759765317013
7,19,2,163,14,38,-0.00763759765317013
7,20,1,164,13,39,0.00468499234920355
7,20,2,164,14,40,-0.00468499234920355
7,21,1,165,13,41,-0.00122400566560046
7,21,2,165,14,42,0.00122400566560046
7,22,1,166,13,43,-0.00916188394214651
7,22,2,166,14,44,0.00916188394214651
7,23,1,167,13,45,-0.0293555918618417
7,23,2,167,14,46,0.0293555918618417
7,24,1,168,13,47,-0.0129852533818908
7,24,2,168,14,48,0.0129852533818908
8,1,1,169,15,1,0.0110145917442053
8,1,2,169,16,2,-0.0110145917442053
8,2,1,170,15,3,0.0336329094121631
8,2,2,170,16,4,-0.0336329094121631
8,3,1,171,15,5,9.74357939312331e-06
8,3,2,171,16,6,-9.74357939313719e-06
8,4,1,172,15,7,0.00225256795760561
8,4,2,172,16,8,-0.00225256795760561
8,5,1,173,15,9,-0.00668334153296526
8,5,2,173,16,10,0.00668334153296526
8,6,1,174,15,11,0.0176007355358092
8,6,2,174,16,12,-0.0176007355358092
8,7,1,175,15,13,0.0185513350614765
8,7,2,175,16,14,-0.0185513350614765
8,8,1,176,15,15,0.000700610618213693
8,8,2,176,16,16,-0.000700610618213693
8,9,1,177,15,17,0.000646215829139873
8,9,2,177,16,18,-0.000646215829139887
8,10,1,178,15,19,0.00665535741547914
8,10,2,178,16,20,-0.00665535741547914
8,11,1,179,15,21,0.0189401020857066
8,11,2,179,16,22,-0.0189401020857066
8,12,1,180,15,23,0.0201884885263145
8,12,2,180,16,24,-0.0201884885263145
8,13,1,181,15,25,-0.00415066903680619
8,13,2,181,16,26,0.00415066903680619
8,14,1,182,15,27,0.00025695520651613
8,14,2,182,16,28,-0.00025695520651613
8,15,1,183,15,29,0.00410032762708759
8,15,2,183,16,30,-0.00410032762708759
8,16,1,184,15,31,0.0117105396073916
8,16,2,184,16,32,-0.0117105396073916
8,17,1,185,15,33,0.0127846895434216
8,17,2,185,16,34,-0.0127846895434216
8,18,1,186,15,35,0.00740291952410799
8,18,2,186,16,36,-0.00740291952410799
8,19,1,187,15,37,0.0163602339672434
8,19,2,187,16,38,-0.0163602339672434
8,20,1,188,15,39,0.0140121212540986
8,20,2,188,16,40,-0.0140121212540986
8,21,1,189,15,41,0.0110495051561141
8,21,2,189,16,42,-0.0110495051561142
8,22,1,190,15,43,-0.00513910984197088
8,22,2,190,16,44,0.00513910984197088
8,23,1,191,15,45,-0.0135077689602814
8,23,2,191,16,46,0.0135077689602814
8,24,1,192,15,47,-0.178389060279464
8,24,2,192,16,48,0.178389060279464
9,1,1,193,17,1,0.0164461541554696
9,1,2,193,18,2,-0.0164461541554695
9,2,1,194,17,3,0.00782065595487569
9,2,2,194,18,4,-0.00782065595487569
9,3,1,195,17,5,-0.00144970509984617
9,3,2,195,18,6,0.00144970509984617
9,4,1,196,17,7,0.0268775234473384
9,4,2,196,18,8,-0.0268775234473384
9,5,1,197,17,9,-0.0108729379480816
9,5,2,197,18,10,0.0108729379480816
9,6,1,198,17,11,-0.0131062773871275
9,6,2,198,18,12,0.0131062773871275
9,7,1,199,17,13,-0.00445121025195089
9,7,2,199,18,14,0.00445121025195089
9,8,1,200,17,15,-0.00561361570829788
9,8,2,200,18,16,0.00561361570829788
9,9,1,201,17,17,-0.0116842733410703
9,9,2,201,18,18,0.0116842733410703
9,10,1,202,17,19,-0.00191886462885885
9,10,2,202,18,20,0.00191886462885885
9,11,1,203,17,21,0.0132863773358333
9,11,2,203,18,22,-0.0132863773358333
9,12,1,204,17,23,0.0146424229069882
9,12,2,204,18,24,-0.0146424229069882
9,13,1,205,17,25,-0.0129859597746067
9,13,2,205,18,26,0.0129859597746067
9,14,1,206,17,27,-0.0141130866589093
9,14,2,206,18,28,0.0141130866589093
9,15,1,207,17,29,-0.00482951777066165
9,15,2,207,18,30,0.00482951777066165
9,16,1,208,17,31,-0.00388663797131313
9,16,2,208,18,32,0.00388663797131313
9,17,1,209,17,33,0.000967705582758903
9,17,2,209,18,34,-0.000967705582758903
9,18,1,210,17,35,-0.00196456152616874
9,18,2,210,18,36,0.00196456152616874
9,19,1,211,17,37,-0.00237897941914844
9,19,2,211,18,38,0.00237897941914844
9,20,1,212,17,39,0.00142653885644095
9,20,2,212,18,40,-0.00142653885644095
9,21,1,213,17,41,-0.00506617878568705
9,21,2,213,18,42,0.00506617878568705
9,22,1,214,17,43,-0.0199341557307224
9,22,2,214,18,44,0.0199341557307224
9,23,1,215,17,45,0.00985723115948148
9,23,2,215,18,46,-0.00985723115948148
9,24,1,216,17,47,0.0229313526032641
9,24,2,216,18,48,-0.0229313526032641
10,1,1,217,19,1,0.00541584546320538
10,1,2,217,20,2,-0.00541584546320537
10,2,1,218,19,3,-0.0239189308983127
10,2,2,218,20,4,0.0239189308983127
10,3,1,219,19,5,0.0038556282426401
10,3,2,219,20,6,-0.0038556282426401
10,4,1,220,19,7,-0.0220695912845336
10,4,2,220,20,8,0.0220695912845336
10,5,1,221,19,9,-0.0303051204301135
10,5,2,221,20,10,0.0303051204301135
10,6,1,222,19,11,0.00342017297413327
10,6,2,222,20,12,-0.00342017297413327
10,7,1,223,19,13,0.0142076542942323
10,7,2,223,20,14,-0.0142076542942323
10,8,1,224,19,15,-0.0170149405334944
10,8,2,224,20,16,0.0170149405334944
10,9,1,225,19,17,-0.00683551502227037
10,9,2,225,20,18,0.00683551502227037
10,10,1,226,19,19,-0.0132163089205592
10,10,2,226,20,20,0.0132163089205592
10,11,1,227,19,21,-0.000766690511173895
10,11,2,227,20,22,0.000766690511173895
10,12,1,228,19,23,0.0219803603286258
10,12,2,228,20,24,-0.0219803603286258
10,13,1,229,19,25,-0.0122011555897283
10,13,2,229,20,26,0.0122011555897283
10,14,1,230,19,27,-0.0134784535528856
10,14,2,230,20,28,0.0134784535528856
10,15,1,231,19,29,-0.0107254971720814
10,15,2,231,20,30,0.0107254971720814
10,16,1,232,19,31,-0.0135496051469523
10,16,2,232,20,32,0.0135496051469523
10,17,1,233,19,33,-0.00334965536489399
10,17,2,233,20,34,0.00334965536489399
10,18,1,234,19,35,-0.00666525713749144
10,18,2,234,20,36,0.00666525713749144
10,19,1,235,19,37,-0.00213115977712976
10,19,2,235,20,38,0.00213115977712976
10,20,1,236,19,39,0.001410441946028
10,20,2,236,20,40,-0.001410441946028
10,21,1,237,19,41,0.00730559548770016
10,21,2,237,20,42,-0.00730559548770016
10,22,1,238,19,43,0.00946247701869571
10,22,2,238,20,44,-0.00946247701869571
10,23,1,239,19,45,0.0587247463602701
10,23,2,239,20,46,-0.0587247463602701
10,24,1,240,19,47,0.0504449592260896
10,24,2,240,20,48,-0.0504449592260896
11,1,1,241,21,1,0.0125130983548205
11,1,2,241,22,2,-0.0125130983548205
11,2,1,242,21,3,0.0389118110478429
11,2,2,242,22,4,-0.0389118110478429
11,3,1,243,21,5,-0.0302483367744595
11,3,2,243,22,6,0.0302483367744595
11,4,1,244,21,7,0.0116304901629312
11,4,2,244,22,8,-0.0116304901629312
11,5,1,245,21,9,0.0138687434558442
11,5,2,245,22,10,-0.0138687434558442
11,6,1,246,21,11,0.0186572081727533
11,6,2,246,22,12,-0.0186572081727533
11,7,1,247,21,13,0.0358300815697054
11,7,2,247,22,14,-0.0358300815697054
11,8,1,248,21,15,-0.00403123690154272
11,8,2,248,22,16,0.00403123690154272
11,9,1,249,21,17,-0.0105848323517467
11,9,2,249,22,18,0.0105848323517467
11,10,1,250,21,19,-0.00161062084704958
11,10,2,250,22,20,0.00161062084704958
11,11,1,251,21,21,0.000662643078565339
11,11,2,251,22,22,-0.000662643078565339
11,12,1,252,21,23,0.0232308590651785
11,12,2,252,22,24,-0.0232308590651785
11,13,1,253,21,25,0.00627439188790256
11,13,2,253,22,26,-0.00627439188790256
11,14,1,254,21,27,-0.00477467540509617
11,14,2,254,22,28,0.00477467540509617
11,15,1,255,21,29,-0.00919722379182106
11,15,2,255,22,30,0.00919722379182106
11,16,1,256,21,31,-0.00385486923243907
11,16,2,256,22,32,0.00385486923243907
11,17,1,257,21,33,-0.00208045532628324
11,17,2,257,22,34,0.00208045532628324
11,18,1,258,21,35,-0.00526847468705515
11,18,2,258,22,36,0.00526847468705515
11,19,1,259,21,37,-0.00214970131700432
11,19,2,259,22,38,0.00214970131700432
11,20,1,260,21,39,0.00657385221454498
11,20,2,260,22,40,-0.00657385221454498
11,21,1,261,21,41,0.00689269308638442
11,21,2,261,22,42,-0.00689269308638442
11,22,1,262,21,43,-0.00535967255157635
11,22,2,262,22,44,0.00535967255157635
11,23,1,263,21,45,-0.0227578171216558
11,23,2,263,22,46,0.0227578171216558
11,24,1,264,21,47,-0.0731279557887439
11,24,2,264,22,48,0.0731279557887439
12,1,1,265,23,1,0.00623069540469331
12,1,2,265,24,2,-0.0062306954046933
12,2,1,266,23,3,-0.0285551650273933
12,2,2,266,24,4,0.0285551650273933
12,3,1,267,23,5,0.00571536210513447
12,3,2,267,24,6,-0.00571536210513447
12,4,1,268,23,7,0.00723882175482365
12,4,2,268,24,8,-0.00723882175482365
12,5,1,269,23,9,0.0150058310340523
12,5,2,269,24,10,-0.0150058310340523
12,6,1,270,23,11,0.0255295446367558
12,6,2,270,24,12,-0.0255295446367558
12,7,1,271,23,13,0.0342580068954196
12,7,2,271,24,14,-0.0342580068954196
12,8,1,272,23,15,0.0134959185652503
